Session_ID,Player_ID,Player_Name,Session_Date,Days_Before_Match,Next_Match_Date,Next_Match_ID,Age,Height_cm,Weight_kg,Position,Exercise_Type,Duration_min,Heart_Rate,Respiratory_Rate,Body_Temperature,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Steps,Strength_Score,Agility_sec,Endurance_Score,Jump_Height_cm,Shooting_Accuracy_%,Dribbling_Speed_sec,Passing_Accuracy_%,Defense_Rating,Focus_Level,Weekly_Training_Hours,Load_Intensity_Score,Fatigue_Level,Injury_Risk,Injury_Risk_Level,Recovery_Time_hours,Performance_Score,Team,Team_Code,Season
FFS_20191024_1668139015_21900033,1668139015,Jean-Baptiste Moreau,2019-10-24,2,2019-10-26,21900033,39,210.8,113.4,Center-Forward,Scrimmage,80,133,18,37.7,0.33,0.55,0.61,0.74,0.38,0.63,5896,86.5,4.72,92.8,72.3,60.7,4.87,74.3,7.8,7.4,18,7.3,Medium,0,Low,36.5,77.8,Foufous de Sochaux,FFS,2019-2020
FFS_20191024_1679581927_21900033,1679581927,Mamadou Diallo,2019-10-24,2,2019-10-26,21900033,25,193.0,92.5,Guard-Forward,Scrimmage,80,147,20,37.0,0.76,0.47,0.5,0.71,0.38,0.6,6331,96.0,5.83,76.2,81.2,68.7,5.95,75.4,9.3,9.9,20,7.3,High,0,Medium,30.0,81.6,Foufous de Sochaux,FFS,2019-2020
FFS_20191024_1657985451_21900033,1657985451,Pierre Martin,2019-10-24,2,2019-10-26,21900033,36,188.0,81.6,Guard,Scrimmage,80,169,17,37.7,0.28,0.26,0.27,0.69,0.37,0.47,6164,77.0,3.61,82.7,64.8,50.0,3.77,92.8,9.5,8.3,29,7.3,Low,0,Medium,59.1,77.3,Foufous de Sochaux,FFS,2019-2020
FFS_20191024_1697425574_21900033,1697425574,Souleymane Diarra,2019-10-24,2,2019-10-26,21900033,38,203.2,113.4,Forward-Guard,Scrimmage,80,161,17,37.1,0.81,0.28,0.33,0.66,0.72,0.61,4684,94.1,5.33,75.5,79.9,50.0,05.08,61.3,6.1,7.5,27,7.3,Medium,0,Low,35.6,67.9,Foufous de Sochaux,FFS,2019-2020
FFS_20191024_1685968729_21900033,1685968729,Thomas Leblanc,2019-10-24,2,2019-10-26,21900033,30,193.0,86.2,Guard,Scrimmage,80,138,15,38.3,0.66,0.47,0.37,0.54,0.67,0.47,4477,78.3,3.93,82.3,81.0,50.0,4.16,75.3,9.2,9.7,25,7.3,Low,0,Low,50.0,74.4,Foufous de Sochaux,FFS,2019-2020
FFS_20191024_1684823847_21900033,1684823847,Yanis Belkacem,2019-10-24,2,2019-10-26,21900033,28,193.0,81.6,Guard,Scrimmage,80,117,15,38.1,0.45,0.64,0.89,0.66,0.31,0.63,4611,65.0,3.58,92.6,75.5,65.2,3.75,88.5,7.2,8.4,30,7.3,Medium,0,High,53.1,75.5,Foufous de Sochaux,FFS,2019-2020
FFS_20191024_1683305932_21900033,1683305932,Youssef Bouchareb,2019-10-24,2,2019-10-26,21900033,38,198.1,97.5,Forward,Scrimmage,80,122,21,36.7,0.5,0.49,0.57,0.59,0.47,0.43,3942,84.1,04.05,87.5,66.7,52.8,4.1,70.2,7.7,9.7,26,7.3,Medium,0,Low,32.4,73.4,Foufous de Sochaux,FFS,2019-2020
FFS_20191025_1681114057_21900033,1681114057,Abdoulaye Ba,2019-10-25,1,2019-10-26,21900033,29,205.7,106.1,Forward,Defense Drill,69,167,21,36.8,0.8,0.31,0.31,0.42,0.68,0.54,4611,90.7,05.05,80.0,67.7,50.0,5.14,78.1,6.1,7.8,25,7.0,Low,0,Low,24.0,70.6,Foufous de Sochaux,FFS,2019-2020
FFS_20191025_1679015727_21900033,1679015727,Bryan Fournier,2019-10-25,1,2019-10-26,21900033,31,188.0,93.0,Guard,Defense Drill,69,156,19,37.1,0.25,0.51,0.26,0.61,0.65,0.66,3572,79.9,3.69,88.4,77.0,50.0,3.76,90.2,7.4,6.8,31,7.0,High,0,Low,25.8,74.4,Foufous de Sochaux,FFS,2019-2020
FFS_20191025_1660724909_21900033,1660724909,Ibrahim Traoré,2019-10-25,1,2019-10-26,21900033,27,208.3,102.1,Forward-Center,Defense Drill,69,141,22,36.8,0.36,0.58,0.67,0.58,0.64,0.59,3692,76.8,05.03,80.2,71.1,50.0,4.88,75.5,8.0,8.7,27,7.0,Low,0,Medium,43.7,71.2,Foufous de Sochaux,FFS,2019-2020
FFS_20191025_1668139015_21900033,1668139015,Jean-Baptiste Moreau,2019-10-25,1,2019-10-26,21900033,39,210.8,113.4,Center-Forward,Defense Drill,69,143,19,36.8,0.46,0.46,0.57,0.78,0.37,0.76,2798,94.6,4.74,84.0,56.5,65.3,4.9,73.6,6.9,7.4,20,7.0,Low,0,Medium,34.5,76.9,Foufous de Sochaux,FFS,2019-2020
FFS_20191025_1683761184_21900033,1683761184,Johann Müller,2019-10-25,1,2019-10-26,21900033,29,213.4,114.8,Center,Defense Drill,69,124,19,37.1,0.9,0.86,0.88,0.73,0.52,0.63,3816,85.8,05.02,89.5,56.0,50.0,4.99,79.9,7.4,8.8,18,7.0,Low,1,Low,30.7,74.3,Foufous de Sochaux,FFS,2019-2020
FFS_20191025_1652570497_21900033,1652570497,Malik Ouattara,2019-10-25,1,2019-10-26,21900033,35,198.1,99.8,Guard-Forward,Defense Drill,69,146,22,36.7,0.22,0.37,0.25,0.56,0.45,0.63,4165,77.3,5.39,84.5,70.3,56.1,5.58,73.2,6.7,8.8,19,7.0,Low,0,Medium,22.5,70.8,Foufous de Sochaux,FFS,2019-2020
FFS_20191025_1679581927_21900033,1679581927,Mamadou Diallo,2019-10-25,1,2019-10-26,21900033,25,193.0,92.5,Guard-Forward,Defense Drill,69,120,16,37.4,0.54,0.63,0.39,0.56,0.71,0.39,5066,91.0,05.08,85.3,57.2,73.9,4.97,81.4,8.4,7.2,25,7.0,Medium,0,Medium,27.4,82.8,Foufous de Sochaux,FFS,2019-2020
FFS_20191025_1654357913_21900033,1654357913,Matteo Rossi,2019-10-25,1,2019-10-26,21900033,38,195.6,99.8,Guard,Defense Drill,69,168,23,36.7,0.47,0.31,0.46,0.54,0.69,0.38,2524,76.4,4.13,93.7,67.9,50.0,4.29,81.8,9.4,7.7,18,7.0,Low,0,Medium,41.1,77.6,Foufous de Sochaux,FFS,2019-2020
FFS_20191025_1697425574_21900033,1697425574,Souleymane Diarra,2019-10-25,1,2019-10-26,21900033,38,203.2,113.4,Forward-Guard,Defense Drill,69,131,14,36.7,0.21,0.21,0.82,0.71,0.31,0.44,3598,93.7,4.64,86.1,63.1,50.0,05.04,81.7,8.2,7.0,28,7.0,Low,0,Low,42.4,77.1,Foufous de Sochaux,FFS,2019-2020
FFS_20191025_1685968729_21900033,1685968729,Thomas Leblanc,2019-10-25,1,2019-10-26,21900033,30,193.0,86.2,Guard,Defense Drill,69,123,21,37.0,0.42,0.58,0.75,0.59,0.71,0.32,3331,70.7,04.05,88.2,65.2,50.0,3.97,88.1,8.1,9.8,18,7.0,Medium,1,High,29.5,73.6,Foufous de Sochaux,FFS,2019-2020
FFS_20191025_1683305932_21900033,1683305932,Youssef Bouchareb,2019-10-25,1,2019-10-26,21900033,38,198.1,97.5,Forward,Defense Drill,69,150,18,38.3,0.82,0.53,0.73,0.72,0.37,0.8,4314,91.6,04.04,78.7,69.1,56.1,4.23,83.3,8.5,6.8,24,7.0,Low,0,Low,47.1,77.6,Foufous de Sochaux,FFS,2019-2020
FFS_20191026_1681114057_21900048,1681114057,Abdoulaye Ba,2019-10-26,2,2019-10-28,21900048,29,205.7,106.1,Forward,Shooting Drill,106,173,15,36.9,0.53,0.5,0.39,0.57,0.78,0.75,6608,89.3,5.28,79.3,78.5,50.0,5.23,80.8,7.5,9.4,29,8.0,High,0,Low,59.2,73.4,Foufous de Sochaux,FFS,2019-2020
FFS_20191026_1679015727_21900048,1679015727,Bryan Fournier,2019-10-26,2,2019-10-28,21900048,31,188.0,93.0,Guard,Shooting Drill,106,145,17,37.0,0.69,0.42,0.25,0.72,0.78,0.66,7618,77.5,4.3,83.4,77.6,58.4,4.22,82.6,9.2,7.2,19,8.0,Low,1,Low,58.8,77.6,Foufous de Sochaux,FFS,2019-2020
FFS_20191026_1660724909_21900048,1660724909,Ibrahim Traoré,2019-10-26,2,2019-10-28,21900048,27,208.3,102.1,Forward-Center,Shooting Drill,106,150,15,37.7,0.4,0.28,0.25,0.45,0.51,0.35,4814,74.0,4.67,75.6,62.5,52.0,4.35,76.2,7.7,8.1,18,8.0,Medium,0,Low,37.6,69.7,Foufous de Sochaux,FFS,2019-2020
FFS_20191026_1668139015_21900048,1668139015,Jean-Baptiste Moreau,2019-10-26,2,2019-10-28,21900048,39,210.8,113.4,Center-Forward,Shooting Drill,106,157,21,37.6,0.74,0.82,0.26,0.45,0.38,0.8,8250,83.8,5.71,86.8,76.7,50.0,5.29,64.7,8.7,6.8,31,8.0,Low,0,Low,52.1,73.7,Foufous de Sochaux,FFS,2019-2020
FFS_20191026_1683761184_21900048,1683761184,Johann Müller,2019-10-26,2,2019-10-28,21900048,29,213.4,114.8,Center,Shooting Drill,106,150,19,37.8,0.54,0.86,0.55,0.55,0.78,0.59,3504,79.6,4.86,83.5,75.5,74.5,4.94,65.2,7.9,7.8,21,8.0,Low,0,Low,21.9,76.9,Foufous de Sochaux,FFS,2019-2020
FFS_20191026_1652570497_21900048,1652570497,Malik Ouattara,2019-10-26,2,2019-10-28,21900048,35,198.1,99.8,Guard-Forward,Shooting Drill,106,169,16,36.6,0.79,0.32,0.51,0.65,0.74,0.58,3942,89.0,5.96,84.2,80.5,72.8,5.77,66.3,6.3,8.6,25,8.0,Medium,0,Low,56.0,75.5,Foufous de Sochaux,FFS,2019-2020
FFS_20191026_1654357913_21900048,1654357913,Matteo Rossi,2019-10-26,2,2019-10-28,21900048,38,195.6,99.8,Guard,Shooting Drill,106,137,17,36.7,0.47,0.37,0.44,0.78,0.31,0.65,6812,74.8,4.18,85.1,60.6,50.0,4.11,83.9,7.3,9.5,26,8.0,Medium,0,Low,29.8,71.7,Foufous de Sochaux,FFS,2019-2020
FFS_20191026_1657985451_21900048,1657985451,Pierre Martin,2019-10-26,2,2019-10-28,21900048,36,188.0,81.6,Guard,Shooting Drill,106,138,18,37.9,0.74,0.79,0.86,0.65,0.64,0.41,3435,82.3,4.35,79.8,65.1,54.4,4.33,90.4,8.8,9.2,28,8.0,Low,0,Low,22.3,77.2,Foufous de Sochaux,FFS,2019-2020
FFS_20191026_1685968729_21900048,1685968729,Thomas Leblanc,2019-10-26,2,2019-10-28,21900048,30,193.0,86.2,Guard,Shooting Drill,106,124,22,37.5,0.57,0.52,0.3,0.4,0.59,0.63,6462,66.8,3.79,89.7,61.4,79.2,3.98,87.0,8.8,9.3,20,8.0,Medium,0,Low,58.1,81.8,Foufous de Sochaux,FFS,2019-2020
FFS_20191027_1681114057_21900048,1681114057,Abdoulaye Ba,2019-10-27,1,2019-10-28,21900048,29,205.7,106.1,Forward,Skills Practice,76,123,23,37.7,0.2,0.71,0.38,0.71,0.63,0.58,5308,74.5,4.57,77.7,81.6,50.0,4.75,69.1,8.6,7.7,20,6.4,Low,0,Low,49.3,70.4,Foufous de Sochaux,FFS,2019-2020
